Date, TIME_GPS, Altitude, Latitude, Longitude, CH4_dry
6/11/2015,69086,466.6299,38.74189,-121.203,1.993994
7/25/2014,69425,480.9516,38.26369,-121.271,1.99399
3/30/2016,71935,344.0458,36.30781,-119.636,1.99399
4/24/2015,78304,450.5918,35.6114,-118.999,1.993986
6/4/2014,68079,292.9997,38.66497,-121.491,1.993981
8/6/2014,65083,-19.6097,37.4049,-122.045,1.993981
6/4/2014,68415,251.7796,38.3428,-121.464,1.993977
3/17/2016,71848,462.4403,38.3657,-121.249,1.99397
11/17/2015,76997,392.0807,38.86225,-121.364,1.993966
7/25/2014,71876,492.0919,37.07841,-120.989,1.993963
3/30/2016,73154,495.5893,36.78176,-120.256,1.993954
7/25/2014,71222,673.1709,36.93311,-120.91,1.993943
7/25/2014,70678,496.74,37.08827,-120.229,1.993918
7/29/2015,76862,303.7612,38.49651,-121.631,1.993918
5/9/2013,70932,299.2060826,37.42665048,-120.9355685,1.993916254
3/30/2016,73961,317.4782,37.31724,-121.103,1.993914
9/9/2014,71040,216.0163,37.4378,-122.05,1.993904
3/30/2016,72060,280.2969,36.26394,-119.808,1.993904
4/24/2015,77978,431.6369,35.45,-118.84,1.993898
9/24/2015,76701,30.73361,38.21297,-121.526,1.993897
2/4/2013,84792,278.0238968,38.08854184,-121.8908632,1.993896236
7/15/2014,75134,298.8469218,37.19322338,-120.3498773,1.993895724
3/17/2016,71839,455.6596,38.36102,-121.26,1.99387
6/4/2014,69436,476.8778,37.48919,-121.991,1.993863
3/30/2016,71932,341.3564,36.30946,-119.633,1.993856
2/13/2013,72477,269.6961733,36.05077709,-120.9373063,1.993847062
5/9/2013,70647,30.85944862,37.37885718,-120.5665589,1.993832792
11/18/2013,78771,282.5557,38.59942,-121.516,1.993828
12/15/2015,72551,224.8500448,37.0569057,-120.6553166,1.993826463
8/6/2014,65078,-19.5094,37.40489,-122.045,1.993821
7/15/2014,74982,293.6505539,37.33495682,-120.5179416,1.993820329
5/27/2015,71778,359.8909,37.33176,-120.56,1.993817
2/4/2013,85699,387.0951086,37.63201045,-121.8841917,1.993816304
8/6/2014,65048,-17.7339,37.40446,-122.045,1.993813
2/4/2013,84820,280.1611994,38.08272193,-121.8496696,1.993800762
2/4/2013,84813,277.2045686,38.08438572,-121.8609517,1.993774164
11/26/2013,76400,503.4398,37.33052,-122.004,1.993741
3/17/2016,73331,318.1094,38.46689,-121.139,1.993723
3/30/2016,73205,290.0942,36.79685,-120.282,1.99372
3/17/2016,71836,452.244,38.35952,-121.264,1.993715
3/30/2016,71520,327.9275,36.67628,-119.926,1.99371
5/9/2013,70826,316.9800731,37.39202788,-120.8067441,1.993699949
7/25/2014,69670,465.5996,37.97375,-121.249,1.993697
7/29/2015,76912,320.7321,38.44762,-121.613,1.993692
4/24/2015,78262,466.1466,35.61434,-118.941,1.993687
7/25/2014,68768,474.9582,38.86087,-121.501,1.993665
6/11/2015,69089,464.1134,38.7443,-121.207,1.993665
6/11/2015,69136,454.6736,38.77317,-121.267,1.993643
5/19/2015,78037,512.0862,37.33965,-120.572,1.993627
3/17/2016,72241,480.6833,38.76963,-121.184,1.993622
11/18/2013,78988,305.0127,38.4071,-121.491,1.9936
3/17/2016,74412,320.3784,38.39012,-121.543,1.993599
1/31/2013,74595,288.9281083,36.94374469,-121.7730651,1.993574266
